student_id,student_name,class,gender,age,mathematics,english,science,computer,attendance_pct,absent_days,total_marks,average_marks,pass_fail
S044,Student 44,D,Female,18,75,53,77.0,71,98,4,276,69.0,Pass
S045,Student 45,A,Male,15,63,81,81.0,82,74,3,307,76.75,Pass
S046,Student 46,B,Female,18,57,77,48.0,82,81,1,264,66.0,Pass
S047,Student 47,C,Male,17,81,77,60.0,93,84,3,311,77.75,Pass
S048,Student 48,D,Female,16,75,67,77.0,72,84,1,291,72.75,Pass
S049,Student 49,A,Male,17,57,46,94.0,100,84,3,297,74.25,Pass
S050,Student 50,B,Female,17,67,71,67.0,65,92,3,270,67.5,Pass
S051,Student 51,C,Male,17,51,83,100.0,79,85,2,313,78.25,Pass
S052,Student 52,D,Female,17,80,54,72.0,73,100,1,279,69.75,Pass
S053,Student 53,A,Male,16,95,61,78.0,81,81,1,315,78.75,Pass
S054,Student 54,B,Female,99,88,71,44.0,77,80,3,280,70.0,Pass
S055,Student 55,C,Male,18,70,54,45.0,83,83,2,252,63.0,Pass
S056,Student 56,D,Female,18,82,78,59.0,63,94,3,282,70.5,Pass
S057,Student 57,A,Male,15,100,80,75.0,76,94,1,331,82.75,Pass
S058,Student 58,B,Female,18,89,68,63.0,72,94,2,292,73.0,Pass
S059,Student 59,C,Male,16,65,69,74.0,75,95,1,283,70.75,Pass
S060,Student 60,D,Female,18,60,65,35.0,67,80,4,227,56.75,Pass
S061,Student 61,A,Male,16,87,72,54.0,77,96,3,290,72.5,Pass
S062,Student 62,B,Female,18,59,81,66.0,85,87,3,291,72.75,Pass
S063,Student 63,C,Male,16,57,74,66.0,64,75,1,261,65.25,Pass
S064,Student 64,D,Female,16,67,62,68.0,90,69,2,287,71.75,Pass
S065,Student 65,A,Male,18,59,92,74.0,86,78,2,311,77.75,Pass
S066,Student 66,B,Female,16,78,75,78.0,75,90,2,306,76.5,Pass
S067,Student 67,C,Male,15,82,84,45.0,53,96,1,264,66.0,Pass
S068,Student 68,D,Female,15,57,52,71.0,88,100,3,268,67.0,Pass
S069,Student 69,A,Male,16,66,64,70.0,74,79,1,274,68.5,Pass
S070,Student 70,B,Female,18,96,88,56.0,87,93,3,327,81.75,Pass
S071,Student 71,C,Male,15,89,82,81.0,85,90,3,337,84.25,Pass
S072,Student 72,a,Female,17,73,68,50.0,96,100,2,287,71.75,Pass
S073,Student 73,A,Male,18,75,91,70.0,80,79,2,316,79.0,Pass
S074,Student 74,B,Female,15,72,59,69.0,77,100,1,277,69.25,Pass
S075,Student 75,C,Male,17,72,77,70.0,75,79,3,294,73.5,Pass
S076,Student 76,D,Female,15,61,59,77.0,82,73,2,279,69.75,Pass
S077,Student 77,A,Male,15,85,87,85.0,78,81,1,335,83.75,Pass
S078,Student 78,B,Female,15,76,79,89.0,90,86,3,334,83.5,Pass
S079,Student 79,C,Male,17,67,77,66.0,71,90,4,281,70.25,Pass
S080,Student 80,D,Female,16,63,78,63.0,80,90,2,284,71.0,Pass
S081,Student 81,A,Male,16,65,92,52.0,54,73,4,263,65.75,Pass
S082,Student 82,B,Female,17,72,73,88.0,48,91,4,281,70.25,Pass
S083,Student 83,C,Male,18,56,70,58.0,68,85,3,252,63.0,Pass
S084,Student 84,D,Female,15,97,70,98.0,78,100,1,343,85.75,Pass
S085,Student 85,A,Male,18,73,79,100.0,87,82,4,339,84.75,Pass
S086,Student 86,B,Female,15,66,69,83.0,78,90,3,296,74.0,Pass
S087,Student 87,C,Male,18,76,80,40.0,85,80,1,281,70.25,Pass
S088,Student 88,D,Female,15,71,76,59.0,87,77,1,293,73.25,Pass
S089,Student 89,A,Male,16,63,74,74.0,66,93,3,277,69.25,Pass
S090,Student 90,B,Female,15,45,51,69.0,75,87,3,240,60.0,Pass
S091,  Student 91  ,C,Male,16,75,86,53.0,65,79,4,279,69.75,Pass
S092,Student 92,D,Female,16,89,69,32.0,59,81,1,249,62.25,Pass
S093,Student 93,A,Male,16,66,75,65.0,89,82,3,295,73.75,Pass
S094,Student 94,B,Female,17,78,56,75.0,79,86,3,288,72.0,Pass
S095,Student 95,C,Male,15,63,99,66.0,63,88,1,291,72.75,Pass
S096,Student 96,D,Female,15,61,79,78.0,71,95,4,289,72.25,Pass
S097,Student 97,A,Male,15,92,81,90.0,57,85,4,320,80.0,Pass
S098,Student 98,B,Female,15,73,68,67.0,98,86,4,306,76.5,Pass
S099,Student 99,C,Male,16,68,75,70.0,82,97,3,295,73.75,Pass
S100,Student 100,D,Female,18,76,82,52.0,77,95,4,287,71.75,Pass
S101,Student 101,A,Male,16,74,85,77.0,91,90,1,327,81.75,Pass
S102,Student 102,B,Female,17,76,39,75.0,37,74,3,227,56.75,Pass
S103,Student 103,C,Male,18,78,61,59.0,93,84,1,291,72.75,Pass
S104,Student 104,D,Female,17,71,79,94.0,79,79,3,323,80.75,Pass
S105,Student 105,A,Male,16,71,58,66.0,69,95,3,264,66.0,Pass
S106,Student 106,B,Female,18,68,73,73.0,84,80,1,298,74.5,Pass
S107,Student 107,C,Male,16,87,70,48.0,82,91,3,287,71.75,Pass
S108,Student 108,D,Female,17,75,83,75.0,84,76,2,317,79.25,Pass
S109,Student 109,A,Male,16,67,69,83.0,94,100,4,313,78.25,Pass
S110,Student 110,B,Female,17,70,79,81.0,79,89,3,309,77.25,Pass
S111,Student 111,C,Male,16,71,66,63.0,84,88,2,284,71.0,Pass
S112,Student 112,D,Female,18,81,70,81.0,82,78,1,314,78.5,Pass
S113,Student 113,A,Male,18,64,55,54.0,66,88,1,239,59.75,Pass
S114,Student 114,B,Female,18,67,82,75.0,81,91,2,305,76.25,Pass
S115,Student 115,C,Male,18,42,70,37.0,78,87,3,227,56.75,Pass
S116,Student 116,D,Female,15,88,77,62.0,83,83,2,310,77.5,Pass
S117,Student 117,A,Male,17,85,68,82.0,85,80,4,320,80.0,Pass
S118,Student 118,B,Female,18,81,76,58.0,68,83,3,283,70.75,Pass
S119,Student 119,C,Male,18,58,80,51.0,75,88,4,264,66.0,Pass
S120,Student 120,D,Female,15,52,92,72.0,82,88,2,298,74.5,Pass
S011,Student 11,C,Male,15,83,51,50.0,61,69,1,245,61.25,Pass
