employee_id,employee_name,department,age,experience_years,salary,city,gender,performance_rating
E078,Employee 78,Finance,52,14,96187,Delhi,Female,3.32
E079,Employee 79,Sales,37,13,69596,Mumbai,Male,4.07
E080,Employee 80,Operations,30,9,61471,Bengaluru,Female,4.71
E081,Employee 81,IT,52,4,68243,Kolkata,Male,4.76
E082,Employee 82,HR,42,8,50177,Delhi,Female,4.62
E083,Employee 83,Finance,40,9,80743,Mumbai,Male,4.96
E084,Employee 84,Sales,48,15,98130,Bengaluru,Female,3.74
E085,Employee 85,Operations,26,2,46740,Kolkata,Male,4.59
E086,Employee 86,IT,29,7,85327,Delhi,Female,3.61
E087,Employee 87,HR,48,22,101580,Mumbai,Male,4.04
E088,Employee 88,Finance,40,9,90832,Bengaluru,Female,3.33
E089,Employee 89,Sales,44,16,91845,Kolkata,Male,4.24
E090,Employee 90,Operations,26,0,56772,Delhi,Female,4.04
E091,Employee 91,IT,55,5,76634,Mumbai,Male,3.38
E092,Employee 92,HR,39,6,55477,Bengaluru,Female,4.89
E093,Employee 93,Finance,29,3,70383,Kolkata,Male,4.95
E094,Employee 94,Sales,30,0,56605,Delhi,Female,4.74
E095,Employee 95,Operations,53,16,84415,Mumbai,Male,3.86
E096,Employee 96,IT,35,0,61313,Bengaluru,Female,4.99
E097,Employee 97,HR,39,18,95287,Kolkata,Male,4.41
E098,Employee 98,Finance,41,6,74236,Delhi,Female,3.09
E099,Employee 99,Sales,33,12,72957,Mumbai,Male,3.24
E100,Employee 100,Operations,32,0,63390,Bengaluru,Female,3.31
E003,Employee 3,Finance,35,0,52497,Mumbai,Male,4.6
